epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,7665.41,0.99464,0.5503,0.90659,0.94181,0.79245,0.87301,0.56501,1.22024,0.60861,0.87423,0.003994,0.003994,0.003994
93,7751.14,1.01143,0.55057,0.90388,0.94176,0.80046,0.87745,0.56661,1.22278,0.60293,0.87621,0.003928,0.003928,0.003928
94,7836.79,0.98109,0.53231,0.8998,0.9487,0.80122,0.88008,0.57015,1.21887,0.60653,0.87539,0.003862,0.003862,0.003862
95,7914.57,0.97294,0.5276,0.89906,0.93844,0.80261,0.88026,0.57202,1.21125,0.60775,0.87557,0.003796,0.003796,0.003796
96,7993.89,0.97871,0.53387,0.9005,0.93852,0.80377,0.88088,0.57287,1.20289,0.59381,0.87415,0.00373,0.00373,0.00373
97,8069.79,0.9836,0.53953,0.90259,0.9351,0.80256,0.87726,0.57366,1.21287,0.60364,0.87608,0.003664,0.003664,0.003664
98,8145.74,0.96965,0.53564,0.89355,0.94173,0.79512,0.87775,0.57206,1.21206,0.60887,0.87579,0.003598,0.003598,0.003598
99,8221.72,0.9664,0.52961,0.89221,0.93239,0.79983,0.87606,0.57223,1.21423,0.6063,0.87423,0.003532,0.003532,0.003532
100,8297.61,0.98394,0.53122,0.90024,0.94721,0.79359,0.87869,0.57261,1.20982,0.59819,0.87488,0.003466,0.003466,0.003466
101,8381.93,0.96496,0.52169,0.89028,0.94625,0.79925,0.88069,0.56994,1.20643,0.59587,0.87443,0.0034,0.0034,0.0034
102,8466.96,0.96943,0.52305,0.88913,0.94639,0.79702,0.87908,0.57272,1.1994,0.59512,0.87308,0.003334,0.003334,0.003334
103,8546.47,0.96387,0.524,0.89688,0.95191,0.79283,0.87734,0.57116,1.20472,0.5968,0.87423,0.003268,0.003268,0.003268
104,8632.51,0.95818,0.51739,0.88767,0.93884,0.8082,0.87846,0.57306,1.18876,0.59666,0.87154,0.003202,0.003202,0.003202
105,8718.32,0.93884,0.50502,0.88481,0.94563,0.80427,0.87977,0.57585,1.18428,0.59141,0.87302,0.003136,0.003136,0.003136
106,8804.33,0.95296,0.50565,0.88934,0.94241,0.80389,0.87638,0.57219,1.19645,0.59448,0.87454,0.00307,0.00307,0.00307
107,8889.96,0.93007,0.50537,0.88515,0.94125,0.80542,0.87716,0.57103,1.19523,0.58897,0.87531,0.003004,0.003004,0.003004
108,8975.58,0.9327,0.50387,0.88801,0.95409,0.79285,0.88147,0.5754,1.19509,0.58574,0.87696,0.002938,0.002938,0.002938
109,9061.24,0.92367,0.49294,0.88493,0.94982,0.80465,0.88189,0.57495,1.19414,0.58548,0.87563,0.002872,0.002872,0.002872
110,9139.75,0.92978,0.4991,0.88509,0.95114,0.8016,0.88067,0.57474,1.18677,0.58299,0.87174,0.002806,0.002806,0.002806
111,9215.72,0.91218,0.49491,0.87772,0.94685,0.79969,0.88033,0.5781,1.18431,0.5832,0.87136,0.00274,0.00274,0.00274
112,9300.67,0.92299,0.4958,0.88517,0.94487,0.79969,0.88099,0.57727,1.18498,0.57988,0.87081,0.002674,0.002674,0.002674
113,9386.47,0.92186,0.49378,0.87986,0.93812,0.80313,0.88004,0.57901,1.18474,0.58511,0.87222,0.002608,0.002608,0.002608
114,9472.18,0.93516,0.49915,0.88314,0.9398,0.80237,0.87774,0.57896,1.18044,0.58552,0.87212,0.002542,0.002542,0.002542
115,9558.01,0.91085,0.48853,0.88748,0.93664,0.80618,0.88121,0.57778,1.18196,0.58553,0.87252,0.002476,0.002476,0.002476
116,9643.93,0.92033,0.49084,0.88844,0.94275,0.80351,0.88009,0.57873,1.18358,0.58443,0.87498,0.00241,0.00241,0.00241
117,9724.33,0.9012,0.48453,0.87781,0.94412,0.80122,0.87979,0.5779,1.18201,0.57802,0.87464,0.002344,0.002344,0.002344
118,9800.35,0.90462,0.47688,0.87526,0.94798,0.8066,0.88347,0.57974,1.1804,0.57816,0.87492,0.002278,0.002278,0.002278
119,9876.35,0.90552,0.47698,0.87888,0.94175,0.81417,0.88685,0.57875,1.18288,0.57571,0.87547,0.002212,0.002212,0.002212
120,9952.31,0.88226,0.47176,0.87358,0.93761,0.80843,0.88187,0.57879,1.18356,0.57892,0.87532,0.002146,0.002146,0.002146
121,10028.5,0.89437,0.47283,0.87006,0.9334,0.80744,0.88043,0.57745,1.18626,0.57592,0.87471,0.00208,0.00208,0.00208
122,10104.7,0.88334,0.47585,0.87216,0.93672,0.80733,0.88171,0.57854,1.18235,0.57753,0.87494,0.002014,0.002014,0.002014
123,10187.2,0.89179,0.4756,0.87615,0.95613,0.79397,0.88018,0.57894,1.18492,0.57603,0.87553,0.001948,0.001948,0.001948
124,10273,0.87709,0.47554,0.87142,0.9552,0.79817,0.88159,0.57983,1.18318,0.57435,0.87461,0.001882,0.001882,0.001882
125,10358.8,0.88069,0.46433,0.87195,0.95071,0.8021,0.88463,0.57988,1.18105,0.57224,0.87399,0.001816,0.001816,0.001816
126,10444.7,0.88015,0.46662,0.87457,0.94825,0.80398,0.88369,0.58077,1.18008,0.56754,0.87322,0.00175,0.00175,0.00175
127,10530.6,0.86474,0.45313,0.87259,0.94379,0.81352,0.88549,0.58098,1.18017,0.56749,0.87172,0.001684,0.001684,0.001684
128,10616.6,0.8747,0.45748,0.8729,0.94718,0.80725,0.88566,0.58094,1.18152,0.56739,0.87246,0.001618,0.001618,0.001618
129,10701.2,0.86182,0.45396,0.86645,0.95585,0.80131,0.8856,0.58111,1.18378,0.56769,0.87221,0.001552,0.001552,0.001552
130,10782.8,0.86458,0.45457,0.86419,0.94121,0.80847,0.88526,0.58318,1.17649,0.56873,0.8712,0.001486,0.001486,0.001486
131,10868.7,0.84596,0.44692,0.86259,0.94208,0.81267,0.88679,0.58224,1.17825,0.56927,0.87162,0.00142,0.00142,0.00142
132,10954.4,0.83544,0.44005,0.85934,0.94651,0.80923,0.88788,0.58302,1.17868,0.56903,0.87209,0.001354,0.001354,0.001354
133,11040.3,0.83362,0.44083,0.85698,0.95471,0.80425,0.88637,0.58281,1.1774,0.56589,0.87207,0.001288,0.001288,0.001288
134,11126.1,0.84474,0.43769,0.86483,0.95748,0.79911,0.88523,0.58206,1.17727,0.56586,0.87205,0.001222,0.001222,0.001222
135,11203.8,0.85281,0.44683,0.86604,0.95258,0.80477,0.88616,0.5844,1.17569,0.56392,0.87148,0.001156,0.001156,0.001156
136,11279.9,0.85092,0.44289,0.85849,0.96123,0.79741,0.88549,0.58389,1.17443,0.5628,0.87159,0.00109,0.00109,0.00109
137,11356,0.84196,0.43466,0.8606,0.96137,0.79752,0.88517,0.58361,1.1733,0.5621,0.8715,0.001024,0.001024,0.001024
138,11432.5,0.8246,0.42995,0.85843,0.95995,0.79588,0.88381,0.58385,1.17215,0.56291,0.87151,0.000958,0.000958,0.000958
139,11509,0.82708,0.43053,0.85924,0.96075,0.79376,0.88409,0.58348,1.17209,0.56562,0.87146,0.000892,0.000892,0.000892
140,11585.3,0.82948,0.43003,0.86336,0.94159,0.80885,0.88459,0.58443,1.17344,0.56501,0.8717,0.000826,0.000826,0.000826
141,11691.8,0.83954,0.41018,0.82656,0.94194,0.80618,0.88198,0.5817,1.17602,0.56629,0.87253,0.00076,0.00076,0.00076
142,11777.3,0.81815,0.40587,0.82531,0.94895,0.80237,0.88219,0.58038,1.17808,0.56731,0.87323,0.000694,0.000694,0.000694
143,11863.1,0.80846,0.40101,0.81789,0.94922,0.8016,0.88233,0.58141,1.17832,0.57052,0.87363,0.000628,0.000628,0.000628
144,11948.9,0.80707,0.39201,0.82397,0.95218,0.8016,0.88097,0.58133,1.17999,0.57206,0.87425,0.000562,0.000562,0.000562
145,12033.1,0.80892,0.39304,0.82521,0.94911,0.80407,0.88203,0.58131,1.18035,0.5745,0.87464,0.000496,0.000496,0.000496
146,12118.8,0.79985,0.38884,0.82459,0.94277,0.80733,0.88306,0.5806,1.18257,0.57615,0.87459,0.00043,0.00043,0.00043
147,12204.6,0.79356,0.3872,0.82205,0.9581,0.79855,0.88236,0.58119,1.18165,0.57685,0.87444,0.000364,0.000364,0.000364
148,12290.3,0.79563,0.37889,0.81477,0.95708,0.79741,0.88289,0.5826,1.18031,0.57509,0.87462,0.000298,0.000298,0.000298
149,12375.9,0.7969,0.38163,0.82102,0.95747,0.79882,0.88242,0.58294,1.17849,0.57494,0.87442,0.000232,0.000232,0.000232
150,12461.5,0.78964,0.38304,0.82243,0.95922,0.79875,0.88278,0.58382,1.17635,0.57389,0.87442,0.000166,0.000166,0.000166
