epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,26596.7,1.06066,0.5859,1.01782,0.96603,0.8788,0.92504,0.607,1.20995,0.61366,1.0033,0.00241,0.00241,0.00241
117,26824.3,1.06437,0.59732,1.01339,0.96476,0.87741,0.92495,0.60704,1.20855,0.61288,1.00407,0.002344,0.002344,0.002344
118,27052,1.06575,0.5869,1.02086,0.96951,0.87358,0.925,0.60831,1.21239,0.61274,1.007,0.002278,0.002278,0.002278
119,27279.5,1.05632,0.58673,1.01019,0.96753,0.87541,0.92377,0.60817,1.21195,0.61058,1.00834,0.002212,0.002212,0.002212
120,27506.8,1.05508,0.58579,1.01021,0.96965,0.87773,0.92697,0.61115,1.20488,0.60979,1.00483,0.002146,0.002146,0.002146
121,27734.2,1.05036,0.58423,1.01441,0.96907,0.87944,0.92756,0.6121,1.20323,0.60897,1.00353,0.00208,0.00208,0.00208
122,27961.2,1.05124,0.58653,1.00489,0.96699,0.87829,0.92716,0.61091,1.20401,0.60916,1.0045,0.002014,0.002014,0.002014
123,28188.3,1.04754,0.56829,1.00767,0.96919,0.87626,0.92825,0.60986,1.20664,0.61107,1.00499,0.001948,0.001948,0.001948
124,28415.5,1.05107,0.5748,1.00497,0.96831,0.87441,0.92624,0.61032,1.20553,0.60941,1.00429,0.001882,0.001882,0.001882
125,28642.6,1.04029,0.57434,0.99664,0.96857,0.87638,0.92829,0.61231,1.19985,0.60471,1.00183,0.001816,0.001816,0.001816
126,28869.6,1.0307,0.5689,1.00525,0.96875,0.87753,0.92861,0.61338,1.20097,0.60372,1.00228,0.00175,0.00175,0.00175
127,29096.9,1.0382,0.56373,1.00199,0.96479,0.87826,0.92892,0.61169,1.20326,0.6034,1.00219,0.001684,0.001684,0.001684
128,29324.1,1.03408,0.56054,1.00024,0.96319,0.88249,0.92834,0.61203,1.20455,0.60459,1.00204,0.001618,0.001618,0.001618
129,29551.2,1.04067,0.56128,1.0053,0.96301,0.88415,0.92713,0.61013,1.20821,0.60534,1.00231,0.001552,0.001552,0.001552
130,29778.5,1.02285,0.5523,0.998,0.96541,0.88211,0.9275,0.61048,1.20736,0.60482,1.00302,0.001486,0.001486,0.001486
131,30005.5,1.02621,0.55204,0.99996,0.96628,0.88211,0.92718,0.61154,1.2055,0.60493,1.00271,0.00142,0.00142,0.00142
132,30232.8,1.01033,0.54876,0.99838,0.96837,0.87753,0.9285,0.61221,1.20511,0.60512,1.00192,0.001354,0.001354,0.001354
133,30459.9,1.00845,0.54651,0.99428,0.9705,0.8787,0.9286,0.61137,1.20258,0.60449,1.00133,0.001288,0.001288,0.001288
134,30686.9,1.02225,0.55686,0.99704,0.96865,0.87905,0.92696,0.61129,1.20134,0.60382,1.00037,0.001222,0.001222,0.001222
135,30914.1,1.00251,0.54046,0.98932,0.96808,0.87948,0.92785,0.61234,1.19895,0.60199,0.9999,0.001156,0.001156,0.001156
136,31141.3,1.00241,0.54189,0.99548,0.97008,0.87844,0.92784,0.61156,1.199,0.6019,0.99986,0.00109,0.00109,0.00109
137,31368.4,1.01393,0.54873,0.99084,0.9702,0.87676,0.9276,0.61227,1.19879,0.59973,0.99964,0.001024,0.001024,0.001024
138,31595.2,1.01204,0.54938,0.99139,0.97126,0.87829,0.92804,0.61285,1.19934,0.60105,0.99939,0.000958,0.000958,0.000958
139,31822.1,1.01174,0.54688,0.98528,0.97338,0.87894,0.92727,0.61294,1.19959,0.60151,0.99979,0.000892,0.000892,0.000892
140,32049.3,1.00552,0.53806,0.99087,0.97312,0.87753,0.92865,0.61235,1.20192,0.60362,0.99968,0.000826,0.000826,0.000826
141,32296.3,1.00509,0.51462,0.95372,0.97035,0.87715,0.92707,0.61176,1.20438,0.60629,1.00074,0.00076,0.00076,0.00076
142,32522.7,1.00535,0.50676,0.95438,0.96749,0.87676,0.92524,0.61191,1.20551,0.6078,1.00105,0.000694,0.000694,0.000694
143,32749.2,0.98903,0.50171,0.95022,0.96381,0.88172,0.92578,0.6124,1.205,0.60847,1.0014,0.000628,0.000628,0.000628
144,32975.6,0.99261,0.50533,0.95431,0.9661,0.87905,0.92526,0.61286,1.20463,0.60822,1.00205,0.000562,0.000562,0.000562
145,33202.2,0.9883,0.49599,0.95527,0.96446,0.87995,0.92499,0.61245,1.20542,0.61012,1.00273,0.000496,0.000496,0.000496
146,33428.8,0.97714,0.49133,0.94872,0.96218,0.8802,0.92485,0.61291,1.20486,0.61093,1.00314,0.00043,0.00043,0.00043
147,33655.3,0.98067,0.49544,0.94995,0.96357,0.87944,0.92507,0.61194,1.20653,0.61003,1.00321,0.000364,0.000364,0.000364
148,33881.5,0.96695,0.48502,0.94537,0.96518,0.8802,0.92562,0.61201,1.20575,0.60976,1.00321,0.000298,0.000298,0.000298
149,34107.9,0.97901,0.49323,0.94782,0.96572,0.87944,0.92541,0.6123,1.20549,0.60954,1.00348,0.000232,0.000232,0.000232
150,34334.7,0.96689,0.48776,0.94426,0.96526,0.87986,0.92562,0.61147,1.20763,0.61012,1.00405,0.000166,0.000166,0.000166
